id,confidence_score,source,product_id,pubchem_tag_id
6,1.0,pug_view_api,1,6
8,1.0,pug_view_api,7,8
9,1.0,pug_view_api,8,9
10,1.0,pug_view_api,9,10
11,1.0,pug_view_api,23,11
12,1.0,pug_view_api,24,12
13,1.0,pug_view_api,28,13
14,1.0,pug_view_api,30,14
15,1.0,pug_view_api,32,15
16,1.0,pug_view_api,34,16
17,1.0,pug_view_api,36,17
18,1.0,pug_view_api,57,18
19,1.0,pug_view_api,60,19
20,1.0,pug_view_api,61,20
21,1.0,pug_view_api,65,21
22,1.0,pug_view_api,67,22
23,1.0,pug_view_api,68,23
24,1.0,pug_view_api,71,24
25,1.0,pug_view_api,72,25
26,1.0,pug_view_api,74,26
27,1.0,pug_view_api,75,27
28,1.0,pug_view_api,76,28
29,1.0,pug_view_api,78,29
30,1.0,pug_view_api,79,30
31,1.0,pug_view_api,83,31
32,1.0,pug_view_api,89,32
33,1.0,pug_view_api,95,33
34,1.0,pug_view_api,97,34
35,1.0,pug_view_api,98,35
36,1.0,pug_view_api,101,36
37,1.0,pug_view_api,116,37
38,1.0,pug_view_api,135,38
39,1.0,pug_view_api,159,39
40,1.0,pug_view_api,167,40
41,1.0,pug_view_api,174,41
42,1.0,pug_view_api,178,42
43,1.0,pug_view_api,185,43
44,1.0,pug_view_api,192,44
45,1.0,pug_view_api,206,45
46,1.0,pug_view_api,215,46
47,1.0,pug_view_api,216,47
48,1.0,pug_view_api,221,48
49,1.0,pug_view_api,223,49
50,1.0,pug_view_api,230,50
51,1.0,pug_view_api,232,51
52,1.0,pug_view_api,236,52
53,1.0,pug_view_api,237,53
54,1.0,pug_view_api,241,54
55,1.0,pug_view_api,242,55
56,1.0,pug_view_api,244,56
57,1.0,pug_view_api,246,57
58,1.0,pug_view_api,247,57
59,1.0,pug_view_api,258,59
142,1.0,pug_view_api,280,142
143,1.0,pug_view_api,321,143
144,1.0,pug_view_api,342,30
145,1.0,pug_view_api,343,145
146,1.0,pug_view_api,350,146
147,1.0,pug_view_api,351,147
148,1.0,pug_view_api,352,148
149,1.0,pug_view_api,353,149
150,1.0,pug_view_api,354,150
151,1.0,pug_view_api,361,151
152,1.0,pug_view_api,362,152
153,1.0,pug_view_api,388,9
154,1.0,pug_view_api,389,10
155,1.0,pug_view_api,400,155
156,1.0,pug_view_api,438,44
157,1.0,pug_view_api,441,157
158,1.0,pug_view_api,442,34
159,1.0,pug_view_api,476,159
160,1.0,pug_view_api,479,160
161,1.0,pug_view_api,497,150
162,1.0,pug_view_api,498,159
163,1.0,pug_view_api,502,147
164,1.0,pug_view_api,508,164
165,1.0,pug_view_api,510,165
166,1.0,pug_view_api,537,166
167,1.0,pug_view_api,573,167
168,1.0,pug_view_api,584,168
169,1.0,pug_view_api,611,169
170,1.0,pug_view_api,632,143
171,1.0,pug_view_api,670,171
172,1.0,pug_view_api,688,172
173,1.0,pug_view_api,699,23
174,1.0,pug_view_api,701,174
175,1.0,pug_view_api,704,175
176,1.0,pug_view_api,721,149
177,1.0,pug_view_api,726,37
178,1.0,pug_view_api,729,178
179,1.0,pug_view_api,740,179
180,1.0,pug_view_api,741,180
181,1.0,pug_view_api,742,181
182,1.0,pug_view_api,743,182
183,1.0,pug_view_api,744,183
184,1.0,pug_view_api,755,184
185,1.0,pug_view_api,756,185
186,1.0,pug_view_api,814,186
187,1.0,pug_view_api,815,187
188,1.0,pug_view_api,871,142
189,1.0,pug_view_api,879,189
190,1.0,pug_view_api,899,190
191,1.0,pug_view_api,968,191
192,1.0,pug_view_api,981,192
193,1.0,pug_view_api,1030,193
194,1.0,pug_view_api,1066,194
195,1.0,pug_view_api,1070,195
196,1.0,pug_view_api,1115,52
197,1.0,pug_view_api,1123,197
198,1.0,pug_view_api,1124,198
199,1.0,pug_view_api,1125,199
200,1.0,pug_view_api,1189,148
201,1.0,pug_view_api,1190,201
202,1.0,pug_view_api,1196,202
203,1.0,pug_view_api,1211,203
204,1.0,pug_view_api,1213,204
205,1.0,pug_view_api,1221,205
